INFO:root:Send to 127.0.0.1:15600 -> JOIN ahmed 12345
INFO:root:Received from 127.0.0.1 -> 
INFO:root:Send to 127.0.0.1:15600 -> JOIN ahmed ahmed12345
INFO:root:Received from 127.0.0.1 -> 
INFO:root:Send to 192.168.1.2:15600 -> JOIN ahmed ahmed12345
INFO:root:Send to 192.168.1.2:15600 -> JOIN ahmed ahmed
INFO:root:Received from 192.168.1.2 -> 
INFO:root:Send to 127.0.0.1:15600 -> JOIN ahmed ahmed12345
INFO:root:Received from 127.0.0.1 -> join-success
INFO:root:Send to 127.0.0.1:15600 -> LOGIN ahmed ahmed12345 15600
INFO:root:Received from 127.0.0.1 -> login-success
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15600 -> LOGIN ahmed ahmed12345 52401
INFO:root:Received from 127.0.0.1 -> login-success
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
INFO:root:Send to 127.0.0.1:15500 -> HELLO ahmed
